"Source:","N:\idlehandsdev\Projects\volumetric_display\feather_kicad\feather_multi_oled.kicad_sch"
"Date:","2024-07-09 9:34:55 AM"
"Tool:","Eeschema 7.0.9"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","71"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Digikey Part No."
"1","6","C1, C5, C11, C14, C23, C29","10uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","311-1869-1-ND"
"2","1","C2","22uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","311-1464-1-ND"
"3","8","C3, C6, C8, C12, C15, C17, C24, C30","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","311-4348-1-ND"
"4","11","C4, C7, C9, C10, C13, C16, C19, C22, C25, C28, C31","4.7uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","311-3509-2-ND"
"5","1","D1","RB521S30T1G","Device:D_Schottky_Small","Diode_SMD:D_SOD-523","~","","NSVRB521S30T1GOSCT-ND"
"6","1","J1","Barrel_Jack_Switch","Connector:Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Wuerth_6941xx301002","~","","732-5930-ND"
"7","1","LS1","Speaker_Crystal","Device:Speaker_Crystal","Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","~","","445-2525-1-ND"
"8","1","R1","5.1K 1%","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","311-5.10KCRCT-ND"
"9","12","R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R17, R19","100K","AP2112k:R_Small","Resistor_SMD:R_0805_2012Metric","~","","RMCF0805FG100KCT-ND"
"10","10","R12, R13, R14, R15, R16, R21, R22, R23, R24, R25","910K 1%","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","YAG3336CT-ND"
"11","1","R18","75K","AP2112k:R_Small","Resistor_SMD:R_0805_2012Metric","","","13-RT0805FRE0775KLCT-ND"
"12","1","R20","24K","AP2112k:R_Small","Resistor_SMD:R_0805_2012Metric","","","13-AC0805FR-0724KLCT-ND"
"13","3","R26, R27, R28","4.7K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","YAG3364CT-ND"
"14","1","R29","470R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","311-470ARCT-ND"
"15","1","U1","feather","project_lib:feather","Adafruit_FeatherWing:PCB_FeatherWing","","","1528-2648-ND"
"16","10","U2, U3, U4, U5, U6, U8, U9, U10, U11, U12","SSD1309_transparent_oled","project_lib:SSD1309_transparent_oled","project_footprints:FCI_62674-241121ALF","","","WM7986CT-ND"
"17","1","U7","MPM36XX","project_lib:MPM36XX","project_footprints:MPM3606AGQV-Z","https://www.monolithicpower.com/en/documentview/productdocument/index/version/2/document_type/Datasheet/lang/en/sku/MPM3606AGQV/document_id/2104","","1589-1247-1-ND"
"18","1","U13","MPU-6050","feather_multi_oled-rescue:MPU-6050-Sensor_Motion","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm","https://store.invensense.com/datasheets/invensense/MPU-6050_DataSheet_V3%204.pdf","","1428-1007-1-ND"
